79117-1,2014,885,"Teenage Mutant Ninja Turtles",,,0,0,"Turtle Lair Invasion",//rebrickable.com/sets/79117-1/turtle-lair-invasion-teenage-mutant-ninja-turtles-2014,//rebrickable.com/img/sets-t/79117-1.jpg,//rebrickable.com/img/sets-s/79117-1.jpg,//rebrickable.com/img/sets-b/79117-1.jpg
60052-1,2014,884,Town,City,Trains,0,0,"Cargo Train",//rebrickable.com/sets/60052-1/cargo-train-trains-2014,//rebrickable.com/img/sets-t/60052-1.jpg,//rebrickable.com/img/sets-s/60052-1.jpg,//rebrickable.com/img/sets-b/60052-1.jpg
10245-1,2014,882,Seasonal,Christmas,Creator,0,0,"Santa&amp;#039;s Workshop",//rebrickable.com/sets/10245-1/santa039%3Bs-workshop-creator-2014,//rebrickable.com/img/sets-t/10245-1.jpg,//rebrickable.com/img/sets-s/10245-1.jpg,//rebrickable.com/img/sets-b/10245-1.jpg
79018-1,2014,864,"The Hobbit and Lord of the Rings","The Hobbit","The Battle of the Five Armies",0,0,"The Lonely Mountain",//rebrickable.com/sets/79018-1/the-lonely-mountain-the-battle-of-the-five-armies-2014,//rebrickable.com/img/sets-t/79018-1.jpg,//rebrickable.com/img/sets-s/79018-1.jpg,//rebrickable.com/img/sets-b/79018-1.jpg
70813-1,2014,857,"The LEGO Movie",,,0,0,"Rescue Reinforcements",//rebrickable.com/sets/70813-1/rescue-reinforcements-the-lego-movie-2014,//rebrickable.com/img/sets-t/70813-1.jpg,//rebrickable.com/img/sets-s/70813-1.jpg,//rebrickable.com/img/sets-b/70813-1.jpg
70815-1,2014,850,"The LEGO Movie",,,0,0,"Super Secret Police Dropship",//rebrickable.com/sets/70815-1/super-secret-police-dropship-the-lego-movie-2014,//rebrickable.com/img/sets-t/70815-1.jpg,//rebrickable.com/img/sets-s/70815-1.jpg,//rebrickable.com/img/sets-b/70815-1.jpg
60047-1,2014,846,Town,City,Police,0,0,"Police Station",//rebrickable.com/sets/60047-1/police-station-police-2014,//rebrickable.com/img/sets-t/60047-1.jpg,//rebrickable.com/img/sets-s/60047-1.jpg,//rebrickable.com/img/sets-b/60047-1.jpg
42023-1,2014,833,Technic,,,0,0,"Construction Crew",//rebrickable.com/sets/42023-1/construction-crew-technic-2014,//rebrickable.com/img/sets-t/42023-1.jpg,//rebrickable.com/img/sets-s/42023-1.jpg,//rebrickable.com/img/sets-b/42023-1.jpg
41039-1,2014,752,Friends,,,0,0,"Sunshine Ranch",//rebrickable.com/sets/41039-1/sunshine-ranch-friends-2014,//rebrickable.com/img/sets-t/41039-1.jpg,//rebrickable.com/img/sets-s/41039-1.jpg,//rebrickable.com/img/sets-b/41039-1.jpg
42029-1-b1,2014,745,Technic,Model,Construction,0,0,"Forrest skidder",//rebrickable.com/sets/42029-1-b1/forrest-skidder-construction-2014,//rebrickable.com/img/sets-t/42029-1-b1.jpg,//rebrickable.com/img/sets-s/42029-1-b1.jpg,//rebrickable.com/img/sets-b/42029-1-b1.jpg
